jugador_x;jugador_y;bala1_x;bala1_y;bala2_x;bala2_y;salto;movimiento
120;216;102;310;40;130;1;derecha
138;225;99;310;40;132;1;derecha
136;235;96;310;40;134;1;derecha
134;246;93;310;40;136;1;derecha
132;258;90;310;40;138;1;derecha
130;271;87;310;40;140;1;derecha
128;285;84;310;40;142;1;derecha
126;300;81;310;40;144;0;derecha
124;300;78;310;40;146;0;derecha
122;300;75;310;40;148;0;derecha
120;300;72;310;40;150;0;derecha
118;300;69;310;40;152;0;derecha
116;300;66;310;40;154;0;derecha
114;300;63;310;40;156;0;derecha
112;300;60;310;40;158;0;derecha
110;300;57;310;40;160;0;derecha
108;300;54;310;40;162;0;derecha
106;300;51;310;40;164;0;derecha
104;300;48;310;40;166;0;derecha
102;300;45;310;40;168;0;derecha
100;300;42;310;40;170;0;derecha
98;300;39;310;40;172;0;derecha
116;300;36;310;40;174;0;derecha
134;300;33;310;40;176;0;derecha
132;300;30;310;40;178;0;derecha
130;300;27;310;40;180;0;derecha
128;300;24;310;40;182;0;derecha
126;300;21;310;40;184;0;derecha
124;300;18;310;40;186;0;derecha
122;300;15;310;40;188;0;derecha
120;300;12;310;40;190;0;derecha
118;300;9;310;40;192;0;derecha
116;300;6;310;40;194;0;derecha
114;300;3;310;40;196;0;derecha
112;300;0;310;40;198;0;derecha
110;300;750;310;40;200;0;derecha
108;300;747;310;40;202;0;derecha
106;300;744;310;40;204;0;derecha
104;300;741;310;40;206;0;derecha
122;300;738;310;40;208;0;derecha
120;300;735;310;40;210;0;derecha
138;300;732;310;40;212;0;derecha
136;300;729;310;40;214;0;derecha
134;300;726;310;40;216;0;derecha
132;300;723;310;40;218;0;derecha
130;300;720;310;40;220;0;derecha
128;300;717;310;40;222;0;derecha
126;300;714;310;40;224;0;derecha
124;300;711;310;40;226;0;derecha
122;300;708;310;40;228;0;derecha
120;300;705;310;40;230;0;derecha
138;300;702;310;40;232;0;derecha
136;300;699;310;40;234;0;derecha
134;300;696;310;40;236;0;derecha
132;300;693;310;40;238;0;derecha
130;300;690;310;40;240;0;derecha
128;300;687;310;40;242;0;derecha
126;300;684;310;40;244;0;derecha
124;300;681;310;40;246;0;derecha
122;300;678;310;40;248;0;derecha
120;300;675;310;40;250;0;derecha
118;300;672;310;40;252;0;derecha
116;300;669;310;40;254;0;derecha
134;300;666;310;40;256;0;derecha
132;300;663;310;40;258;0;derecha
130;300;660;310;40;260;0;derecha
128;300;657;310;40;262;0;derecha
126;300;654;310;40;264;0;derecha
124;300;651;310;40;266;0;derecha
122;300;648;310;40;268;0;derecha
120;300;645;310;40;270;0;derecha
138;300;642;310;40;272;0;derecha
136;300;639;310;40;274;0;derecha
134;300;636;310;40;276;0;derecha
132;300;633;310;40;278;0;derecha
130;300;630;310;40;280;0;derecha
128;300;627;310;40;282;0;derecha
126;300;624;310;40;284;0;derecha
124;300;621;310;40;286;0;derecha
122;300;618;310;40;288;0;derecha
120;300;615;310;40;290;0;derecha
118;300;612;310;40;292;0;derecha
116;300;609;310;40;294;0;derecha
114;300;606;310;40;296;0;derecha
112;300;603;310;40;298;0;derecha
110;300;600;310;40;300;0;derecha
108;300;597;310;40;302;0;derecha
106;300;594;310;40;304;0;derecha
104;300;591;310;40;306;0;derecha
122;300;588;310;40;308;0;derecha
120;300;585;310;40;310;0;derecha
138;300;582;310;40;312;0;derecha
136;300;579;310;40;314;0;derecha
134;300;576;310;40;316;0;derecha
132;300;573;310;40;318;0;derecha
130;300;570;310;40;320;0;derecha
128;300;567;310;40;322;0;derecha
126;300;564;310;40;324;0;derecha
124;300;561;310;40;326;0;derecha
122;300;558;310;40;328;0;derecha
120;300;555;310;40;330;0;derecha
138;300;552;310;40;332;0;derecha
136;300;549;310;40;334;0;derecha
134;300;546;310;40;336;0;derecha
132;300;543;310;40;338;0;derecha
130;300;540;310;40;340;0;derecha
128;300;537;310;40;342;0;derecha
126;300;534;310;40;344;0;derecha
124;300;531;310;40;346;0;derecha
122;300;528;310;40;348;0;derecha
120;300;525;310;40;350;0;derecha
118;300;522;310;40;352;0;derecha
116;300;519;310;40;354;0;derecha
114;300;516;310;40;356;0;derecha
132;300;513;310;40;358;0;derecha
130;300;510;310;40;360;0;derecha
128;300;507;310;40;362;0;derecha
126;300;504;310;40;364;0;derecha
124;300;501;310;40;366;0;derecha
122;300;498;310;40;368;0;derecha
